N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
671,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,7/12/2001,7/1/2001,,0.603,0.33,15,19.5,,,,,2001,2001-05,Summer
672,R1,CAP canal above Waddell Canal,cap,cap-siphon,8/14/2001,8/1/2001,,0.385,0.298,13.1,11.1,,,,,2001,2001-05,Summer
673,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/14/2001,8/1/2001,,0.256,0.257,11.6,12.9,,,,,2001,2001-05,Summer
674,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/14/2001,8/1/2001,,0.315,0.281,14.1,12.1,,,,,2001,2001-05,Summer
675,R3,Waddell Canal,cap,waddell canal,8/14/2001,8/1/2001,,0.382,0.336,15,13.5,,,,,2001,2001-05,Summer
676,R4,Cap Canal at 7th St.,cap,cap @ 7th st,8/16/2001,8/1/2001,,0.293,0.29,14.3,12.6,,,,,2001,2001-05,Summer
677,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,8/16/2001,8/1/2001,,0.415,0.281,13.7,36.1,,,,,2001,2001-05,Summer
678,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,8/14/2001,8/1/2001,,0.323,0.281,84.6,40.9,,,,,2001,2001-05,Summer
679,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/14/2001,8/1/2001,,0.355,0.347,15.4,12.8,,,,,2001,2001-05,Summer
680,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/14/2001,8/1/2001,,0.385,0.346,19.4,19.5,,,,,2001,2001-05,Summer
681,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,8/14/2001,8/1/2001,,0.215,0.197,35.9,36.1,,,,,2001,2001-05,Summer
682,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,8/15/2001,8/1/2001,,0.308,0.213,25.4,22.7,,,,,2001,2001-05,Summer
683,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/15/2001,8/1/2001,,0.316,0.276,19,19.2,,,,,2001,2001-05,Summer
684,R9A-Dup,Saguaro Lake near inlet,,saguaro-epi dup,8/15/2001,8/1/2001,,0.207,0.237,20.2,15.7,,,,,2001,2001-05,Summer
685,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/15/2001,8/1/2001,,0.287,0.284,31.9,30.4,,,,,2001,2001-05,Summer
686,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/15/2001,8/1/2001,,0.236,0.216,30.5,28.4,,,,,2001,2001-05,Summer
687,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/15/2001,8/1/2001,,0.267,0.265,13.2,11,,,,,2001,2001-05,Summer
688,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/15/2001,8/1/2001,,0.196,0.186,33,28.1,,,,,2001,2001-05,Summer
689,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/15/2001,8/1/2001,,,,,,,,,,2001,2001-05,Summer
690,R14,AZ Canal - Inlet to Squaw Peak WTP,srp,az canal @ squaw peak,8/16/2001,8/1/2001,,0.258,0.261,26.5,17.9,,,,,2001,2001-05,Summer
691,R15,Squaw Peak WTP treated water,srp,squaw peak-treated,8/16/2001,8/1/2001,,,,,,,,,,2001,2001-05,Summer
692,R16,AZ Canal - Inlet to Deer Valley WTP,srp,az canal @ deer valley,8/16/2001,8/1/2001,,0.299,0.311,19.8,13.8,,,,,2001,2001-05,Summer
693,R17,Deer Valley WTP treated water,srp,deer valley-treated,8/16/2001,8/1/2001,,,,,,,,,,2001,2001-05,Summer
694,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,8/16/2001,8/1/2001,,0.237,0.23,22.7,19.1,,,,,2001,2001-05,Summer
695,R19,Val Vista WTP treated water,srp,val vista-treated,8/16/2001,8/1/2001,,,,,,,,,,2001,2001-05,Summer
696,field_blank,field blank,,field,,8/1/2001,,,,,,,,,,2001,2001-05,Summer
697,lab_blank,laboratory blank,,lab,,8/1/2001,,,,,,,,,,2001,2001-05,Summer
698,R20,Verde River at Tangle,verde,verde abv horseshoe,,8/1/2001,,,,,,,,,,2001,2001-05,Summer
699,R25,verde river at beeline highway,verde,verde @ beeline,8/15/2001,8/1/2001,,0.143,0.118,14.8,14.5,,,,,2001,2001-05,Summer
700,R26,AZ Canal - 19th avenue,srp,az canal @ 19 ave.,8/16/2001,8/1/2001,,0.374,0.373,23.8,20.5,,,,,2001,2001-05,Summer
701,R1,CAP canal above Waddell Canal,cap,cap-siphon,9/11/2001,9/1/2001,,0.285,0.243,3.4,3,,,,,2001,2001-05,Summer
702,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/11/2001,9/1/2001,,0.288,0.264,9.6,7.8,,,,,2001,2001-05,Summer
703,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/11/2001,9/1/2001,,0.291,0.253,11.4,9,,,,,2001,2001-05,Summer
704,R3,Waddell Canal,cap,waddell canal,9/11/2001,9/1/2001,,0.247,0.225,13.4,8,,,,,2001,2001-05,Summer
705,R4,Cap Canal at 7th St.,cap,cap @ 7th st,9/12/2001,9/1/2001,,0.29,0.25,14.2,9.4,,,,,2001,2001-05,Summer
706,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,9/12/2001,9/1/2001,,0.236,0.233,10.2,7.4,,,,,2001,2001-05,Summer
707,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,9/11/2001,9/1/2001,,0.194,0.213,73.4,20.4,,,,,2001,2001-05,Summer
