N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year,Season
8510,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,1/5/2015,1/5/2015,,,1.045,,,,,,2015,,2011-15,
8511,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,1/5/2015,1/5/2015,,,0.761,,,,,,2015,,2011-15,
8512,GL IN,Glendale WTP Inlet,,Glen In,1/5/2015,1/5/2015,,,,,,,,,2015,,2011-15,
8513,GR IN,Greenway WTP Inlet,srp,Green In,1/5/2015,1/5/2015,,,2.803,,,,,,2015,,2011-15,
8514,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,1/5/2015,1/5/2015,,,,,,,,,2015,,2011-15,
8517,HOC,Head of the Consolidated Canal,az canal,,1/5/2015,1/5/2015,,,0.773,,,,,,2015,,2011-15,
8518,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,1/5/2015,1/5/2015,,,0.223,,,,,,2015,,2011-15,
8519,CH IN,Chandler WTP inlet,,chandler,1/5/2015,1/5/2015,,,0.296,,,,,,2015,,2011-15,
8520,HAV,Havasu lake Sample,,Havasu  ,2/2/2015,2/2/2015,,,0.412,,,,,,2015,,2011-15,
8521,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,2/2/2015,2/2/2015,,,0.391,,,,,,2015,,2011-15,
8522,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,2/2/2015,2/2/2015,,,0.362,,,,,,2015,,2011-15,
8523,R20,Verde River at Tangle,verde,verde abv horseshoe,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8524,R25,verde river at beeline highway,verde,verde @ beeline,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8525,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8526,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8527,R9A,Saguaro Lake near inlet,salt,saguaro-epi,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8528,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8529,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8530,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8531,UH IN,Union Hills Inlet,cap,Union Hills Inlet,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8532,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8537,R14,24th St. WTP Inlet,srp,24th In,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8538,R15,24th St. WTP Outlet,srp,24th Out,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8539,GR IN,Greenway WTP Inlet,srp,Green In,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8540,GR OUT,Greenway WTP Outlet,srp,Green Out,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8541,GL IN,Glendale WTP Inlet,,Glen In,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8542,GL OUT,Glendale WTP Outlet,,Glen Out,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8543,AN IN,Anthem WTP inlet,,anthem,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8544,AN OUT,Anthem WTP outlet,,anthem,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8545,CH IN,Chandler WTP inlet,,chandler,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8546,CH OUT,Chandler WTP outlet,,chandler,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8547,R3,Waddell Canal,cap,waddell canal,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8548,AN IN,Anthem WTP inlet,,anthem,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8549,UH IN,Union Hills Inlet,cap,Union Hills Inlet,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8550,SGPS,Salt Gila,,Salt Gila,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8551,MTO,Mesa Turnout,,Mesa Turnout,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8552,R11,CAP Canal at Cross-connect,cap,cap @ x con,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8553,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8554,R25,verde river at beeline highway,verde,verde @ beeline,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8555,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8556,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8557,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8558,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8559,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8560,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8561,GL IN,Glendale WTP Inlet,,Glen In,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8562,GR IN,Greenway WTP Inlet,srp,Green In,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8563,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8566,HOC,Head of the Consolidated Canal,az canal,,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8567,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8568,CH IN,Chandler WTP inlet,,chandler,2/2/2015,2/2/2015,,,,,,,,,2015,,2011-15,
8569,HAV,Havasu lake Sample,,Havasu  ,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8570,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,3/9/2015,3/9/2015,,,0.379,,,,,,2015,,2011-15,
8571,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,3/9/2015,3/9/2015,,,0.384,,,,,,2015,,2011-15,
8572,R20,Verde River at Tangle,verde,verde abv horseshoe,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8573,R25,verde river at beeline highway,verde,verde @ beeline,3/9/2015,3/9/2015,,,0.322,,,,,,2015,,2011-15,
8574,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,3/9/2015,3/9/2015,,,0.195,,,,,,2015,,2011-15,
8575,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,3/9/2015,3/9/2015,,,0.35,,,,,,2015,,2011-15,
8576,R9A,Saguaro Lake near inlet,salt,saguaro-epi,3/9/2015,3/9/2015,,,0.409,,,,,,2015,,2011-15,
8577,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,3/9/2015,3/9/2015,,,0.387,,,,,,2015,,2011-15,
8578,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,3/9/2015,3/9/2015,,,0.345,,,,,,2015,,2011-15,
8579,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8580,UH IN,Union Hills Inlet,cap,Union Hills Inlet,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8581,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8586,R14,24th St. WTP Inlet,srp,24th In,3/9/2015,3/9/2015,,,1.363,,,,,,2015,,2011-15,
8587,R15,24th St. WTP Outlet,srp,24th Out,3/9/2015,3/9/2015,,,1.856,,,,,,2015,,2011-15,
8588,GR IN,Greenway WTP Inlet,srp,Green In,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8589,GR OUT,Greenway WTP Outlet,srp,Green Out,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8590,GL IN,Glendale WTP Inlet,,Glen In,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8591,GL OUT,Glendale WTP Outlet,,Glen Out,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8592,AN IN,Anthem WTP inlet,,anthem,3/9/2015,3/9/2015,,,0.453,,,,,,2015,,2011-15,
8593,AN OUT,Anthem WTP outlet,,anthem,3/9/2015,3/9/2015,,,0.443,,,,,,2015,,2011-15,
8594,CH IN,Chandler WTP inlet,,chandler,3/9/2015,3/9/2015,,,5.021,,,,,,2015,,2011-15,
8595,CH OUT,Chandler WTP outlet,,chandler,3/9/2015,3/9/2015,,,5.413,,,,,,2015,,2011-15,
8596,R3,Waddell Canal,cap,waddell canal,3/9/2015,3/9/2015,,,0.444,,,,,,2015,,2011-15,
8597,AN IN,Anthem WTP inlet,,anthem,3/9/2015,3/9/2015,,,0.453,,,,,,2015,,2011-15,
8598,UH IN,Union Hills Inlet,cap,Union Hills Inlet,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8599,SGPS,Salt Gila,,Salt Gila,3/9/2015,3/9/2015,,,0.386,,,,,,2015,,2011-15,
8600,MTO,Mesa Turnout,,Mesa Turnout,3/9/2015,3/9/2015,,,0.362,,,,,,2015,,2011-15,
8601,R11,CAP Canal at Cross-connect,cap,cap @ x con,3/9/2015,3/9/2015,,,0.442,,,,,,2015,,2011-15,
8602,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8603,R25,verde river at beeline highway,verde,verde @ beeline,3/9/2015,3/9/2015,,,0.322,,,,,,2015,,2011-15,
8604,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,3/9/2015,3/9/2015,,,0.423,,,,,,2015,,2011-15,
8605,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,3/9/2015,3/9/2015,,,0.393,,,,,,2015,,2011-15,
8606,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,3/9/2015,3/9/2015,,,0.378,,,,,,2015,,2011-15,
8607,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,3/9/2015,3/9/2015,,,1.436,,,,,,2015,,2011-15,
8608,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,3/9/2015,3/9/2015,,,0.957,,,,,,2015,,2011-15,
8609,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,3/9/2015,3/9/2015,,,0.739,,,,,,2015,,2011-15,
8610,GL IN,Glendale WTP Inlet,,Glen In,3/9/2015,3/9/2015,,,,,,,,,2015,,2011-15,
8611,GR IN,Greenway WTP Inlet,srp,Green In,3/9/2015,3/9/2015,,,1.363,,,,,,2015,,2011-15,
8612,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,3/9/2015,3/9/2015,,,0.32,,,,,,2015,,2011-15,
8615,HOC,Head of the Consolidated Canal,az canal,,3/9/2015,3/9/2015,,,1.788,,,,,,2015,,2011-15,
8616,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,3/9/2015,3/9/2015,,,4.205,,,,,,2015,,2011-15,
8617,CH IN,Chandler WTP inlet,,chandler,3/9/2015,3/9/2015,,,5.021,,,,,,2015,,2011-15,
8618,HAV,Havasu lake Sample,,Havasu  ,4/6/2015,4/6/2015,,,0.489,,,,,,2015,,2011-15,
8619,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,4/6/2015,4/6/2015,,,0.341,,,,,,2015,,2011-15,
8620,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,4/6/2015,4/6/2015,,,0.279,,,,,,2015,,2011-15,
8621,R20,Verde River at Tangle,verde,verde abv horseshoe,4/6/2015,4/6/2015,,,0.152,,,,,,2015,,2011-15,
8622,R25,verde river at beeline highway,verde,verde @ beeline,4/6/2015,4/6/2015,,,0.366,,,,,,2015,,2011-15,
8623,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,4/6/2015,4/6/2015,,,0.322,,,,,,2015,,2011-15,
8624,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,4/6/2015,4/6/2015,,,0.291,,,,,,2015,,2011-15,
8625,R9A,Saguaro Lake near inlet,salt,saguaro-epi,4/6/2015,4/6/2015,,,0.375,,,,,,2015,,2011-15,
8626,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,4/6/2015,4/6/2015,,,0.306,,,,,,2015,,2011-15,
8627,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,4/6/2015,4/6/2015,,,0.45,,,,,,2015,,2011-15,
8628,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/6/2015,4/6/2015,,,0.253,,,,,,2015,,2011-15,
8629,SRNR,Salt River Near Roosevelt Inlet,salt,SRNR,4/6/2015,4/6/2015,,,,,,,,,2015,,2011-15,
8630,UH IN,Union Hills Inlet,cap,Union Hills Inlet,4/6/2015,4/6/2015,,,0.49,,,,,,2015,,2011-15,
8631,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,4/6/2015,4/6/2015,,,0.451,,,,,,2015,,2011-15,
8636,GR IN,Greenway WTP Inlet,srp,Green In,4/6/2015,4/6/2015,,,3.031,,,,,,2015,,2011-15,
8637,GR OUT,Greenway WTP Outlet,srp,Green Out,4/6/2015,4/6/2015,,,2.222,,,,,,2015,,2011-15,
8638,GL IN,Glendale WTP Inlet,,Glen In,4/6/2015,4/6/2015,,,0.501,,,,,,2015,,2011-15,
8639,GL OUT,Glendale WTP Outlet,,Glen Out,4/6/2015,4/6/2015,,,1.075,,,,,,2015,,2011-15,
8640,AN IN,Anthem WTP inlet,,anthem,4/6/2015,4/6/2015,,,0.423,,,,,,2015,,2011-15,
8641,AN OUT,Anthem WTP outlet,,anthem,4/6/2015,4/6/2015,,,0.451,,,,,,2015,,2011-15,
8642,R14,24th St. WTP Inlet,srp,24th In,4/6/2015,4/6/2015,,,0.443,,,,,,2015,,2011-15,
8643,R15,24th St. WTP Outlet,srp,24th Out,4/6/2015,4/6/2015,,,0.391,,,,,,2015,,2011-15,
8644,CH IN,Chandler WTP inlet,,chandler,4/6/2015,4/6/2015,,,3.262,,,,,,2015,,2011-15,
8645,CH OUT,Chandler WTP outlet,,chandler,4/6/2015,4/6/2015,,,3.302,,,,,,2015,,2011-15,
8646,R3,Waddell Canal,cap,waddell canal,4/6/2015,4/6/2015,,,0.562,,,,,,2015,,2011-15,
8647,AN IN,Anthem WTP inlet,,anthem,4/6/2015,4/6/2015,,,0.423,,,,,,2015,,2011-15,
8648,UH IN,Union Hills Inlet,cap,Union Hills Inlet,4/6/2015,4/6/2015,,,0.49,,,,,,2015,,2011-15,
8649,SGPS,Salt Gila,,Salt Gila,4/6/2015,4/6/2015,,,0.428,,,,,,2015,,2011-15,
8650,MTO,Mesa Turnout,,Mesa Turnout,4/6/2015,4/6/2015,,,0.429,,,,,,2015,,2011-15,
8651,R11,CAP Canal at Cross-connect,cap,cap @ x con,4/6/2015,4/6/2015,,,0.47,,,,,,2015,,2011-15,
8652,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,4/6/2015,4/6/2015,,,0.253,,,,,,2015,,2011-15,
8653,R25,verde river at beeline highway,verde,verde @ beeline,4/6/2015,4/6/2015,,,0.366,,,,,,2015,,2011-15,
8654,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,4/6/2015,4/6/2015,,,0.462,,,,,,2015,,2011-15,
8655,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,4/6/2015,4/6/2015,,,0.44,,,,,,2015,,2011-15,
8656,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,4/6/2015,4/6/2015,,,0.391,,,,,,2015,,2011-15,
8657,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,4/6/2015,4/6/2015,,,0.607,,,,,,2015,,2011-15,
8658,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,4/6/2015,4/6/2015,,,0.432,,,,,,2015,,2011-15,
8659,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,4/6/2015,4/6/2015,,,0.429,,,,,,2015,,2011-15,
8660,GL IN,Glendale WTP Inlet,,Glen In,4/6/2015,4/6/2015,,,0.501,,,,,,2015,,2011-15,
8661,GR IN,Greenway WTP Inlet,srp,Green In,4/6/2015,4/6/2015,,,3.031,,,,,,2015,,2011-15,
8662,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,4/6/2015,4/6/2015,,,0.377,,,,,,2015,,2011-15,
8665,HOC,Head of the Consolidated Canal,az canal,,4/6/2015,4/6/2015,,,1.461,,,,,,2015,,2011-15,
8666,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,4/6/2015,4/6/2015,,,3.509,,,,,,2015,,2011-15,
8667,CH IN,Chandler WTP inlet,,chandler,4/6/2015,4/6/2015,,,3.262,,,,,,2015,,2011-15,
8668,HAV,Havasu lake Sample,,Havasu  ,5/4/2015,5/4/2015,,,0.505,,,,,,2015,,2011-15,
8669,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,5/4/2015,5/4/2015,,,0.386,,,,,,2015,,2011-15,
8670,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,5/4/2015,5/4/2015,,,0.213,,,,,,2015,,2011-15,
8671,R20,Verde River at Tangle,verde,verde abv horseshoe,5/4/2015,5/4/2015,,,0.124,,,,,,2015,,2011-15,
8672,R25,verde river at beeline highway,verde,verde @ beeline,5/4/2015,5/4/2015,,,0.432,,,,,,2015,,2011-15,
8673,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,5/4/2015,5/4/2015,,,0.179,,,,,,2015,,2011-15,
8674,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,5/4/2015,5/4/2015,,,0.247,,,,,,2015,,2011-15,
8675,R9A,Saguaro Lake near inlet,salt,saguaro-epi,5/4/2015,5/4/2015,,,0.313,,,,,,2015,,2011-15,
8676,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,5/4/2015,5/4/2015,,,0.252,,,,,,2015,,2011-15,
8677,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,5/4/2015,5/4/2015,,,0.303,,,,,,2015,,2011-15,
8678,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/4/2015,5/4/2015,,,0.309,,,,,,2015,,2011-15,
8679,SRNR,Salt River Near Roosevelt Inlet,salt,SRNR,5/4/2015,5/4/2015,,,,,,,,,2015,,2011-15,
8680,UH IN,Union Hills Inlet,cap,Union Hills Inlet,5/4/2015,5/4/2015,,,0.434,,,,,,2015,,2011-15,
8681,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,5/4/2015,5/4/2015,,,0.368,,,,,,2015,,2011-15,
8686,GR IN,Greenway WTP Inlet,srp,Green In,5/4/2015,5/4/2015,,,2.014,,,,,,2015,,2011-15,
8687,GR OUT,Greenway WTP Outlet,srp,Green Out,5/4/2015,5/4/2015,,,1.511,,,,,,2015,,2011-15,
8688,GL IN,Glendale WTP Inlet,,Glen In,5/4/2015,5/4/2015,,,0.875,,,,,,2015,,2011-15,
8689,GL OUT,Glendale WTP Outlet,,Glen Out,5/4/2015,5/4/2015,,,0.563,,,,,,2015,,2011-15,
8690,AN IN,Anthem WTP inlet,,anthem,5/4/2015,5/4/2015,,,0.421,,,,,,2015,,2011-15,
8691,AN OUT,Anthem WTP outlet,,anthem,5/4/2015,5/4/2015,,,0.354,,,,,,2015,,2011-15,
8692,R14,24th St. WTP Inlet,srp,24th In,5/4/2015,5/4/2015,,,0.353,,,,,,2015,,2011-15,
8693,R15,24th St. WTP Outlet,srp,24th Out,5/4/2015,5/4/2015,,,0.3,,,,,,2015,,2011-15,
8694,CH IN,Chandler WTP inlet,,chandler,5/4/2015,5/4/2015,,,1.054,,,,,,2015,,2011-15,
8695,CH OUT,Chandler WTP outlet,,chandler,5/4/2015,5/4/2015,,,0.923,,,,,,2015,,2011-15,
8696,R3,Waddell Canal,cap,waddell canal,5/4/2015,5/4/2015,,,0.422,,,,,,2015,,2011-15,
8697,AN IN,Anthem WTP inlet,,anthem,5/4/2015,5/4/2015,,,0.421,,,,,,2015,,2011-15,
8698,UH IN,Union Hills Inlet,cap,Union Hills Inlet,5/4/2015,5/4/2015,,,0.434,,,,,,2015,,2011-15,
8699,SGPS,Salt Gila,,Salt Gila,5/4/2015,5/4/2015,,,0.432,,,,,,2015,,2011-15,
8700,MTO,Mesa Turnout,,Mesa Turnout,5/4/2015,5/4/2015,,,0.421,,,,,,2015,,2011-15,
8701,R11,CAP Canal at Cross-connect,cap,cap @ x con,5/4/2015,5/4/2015,,,0.437,,,,,,2015,,2011-15,
8702,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,5/4/2015,5/4/2015,,,0.309,,,,,,2015,,2011-15,
8703,R25,verde river at beeline highway,verde,verde @ beeline,5/4/2015,5/4/2015,,,0.432,,,,,,2015,,2011-15,
8704,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,5/4/2015,5/4/2015,,,0.428,,,,,,2015,,2011-15,
8705,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,5/4/2015,5/4/2015,,,0.407,,,,,,2015,,2011-15,
8706,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,5/4/2015,5/4/2015,,,0.357,,,,,,2015,,2011-15,
8707,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,5/4/2015,5/4/2015,,,0.499,,,,,,2015,,2011-15,
8708,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,5/4/2015,5/4/2015,,,0.599,,,,,,2015,,2011-15,
8709,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,5/4/2015,5/4/2015,,,0.324,,,,,,2015,,2011-15,
8710,GL IN,Glendale WTP Inlet,,Glen In,5/4/2015,5/4/2015,,,0.875,,,,,,2015,,2011-15,
8711,GR IN,Greenway WTP Inlet,srp,Green In,5/4/2015,5/4/2015,,,2.014,,,,,,2015,,2011-15,
8712,SOCA,South Canal below CAP Cross-conect,srp,South canal below CAP,5/4/2015,5/4/2015,,,0.349,,,,,,2015,,2011-15,
8715,HOC,Head of the Consolidated Canal,az canal,,5/4/2015,5/4/2015,,,0.578,,,,,,2015,,2011-15,
8716,MOC,Middle of the Consolidated canal,az canal,Mesa Turnout,5/4/2015,5/4/2015,,,0.363,,,,,,2015,,2011-15,
8717,CH IN,Chandler WTP inlet,,chandler,5/4/2015,5/4/2015,,,1.054,,,,,,2015,,2011-15,
8718,HAV,Havasu lake Sample,,Havasu  ,6/1/2015,6/1/2015,,,,,,,,,2015,,2011-15,
8719,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,6/1/2015,6/1/2015,,,,,,,,,2015,,2011-15,
8720,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,6/1/2015,6/1/2015,,,,,,,,,2015,,2011-15,
8721,R20,Verde River at Tangle,verde,verde abv horseshoe,6/1/2015,6/1/2015,,,,,,,,,2015,,2011-15,
8722,R25,verde river at beeline highway,verde,verde @ beeline,6/1/2015,6/1/2015,,,0.254,,,,,,2015,,2011-15,
8723,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,6/1/2015,6/1/2015,,,0.292,,,,,,2015,,2011-15,
8724,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,6/1/2015,6/1/2015,,,0.352,,,,,,2015,,2011-15,
8725,R9A,Saguaro Lake near inlet,salt,saguaro-epi,6/1/2015,6/1/2015,,,0.382,,,,,,2015,,2011-15,
8726,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,6/1/2015,6/1/2015,,,0.376,,,,,,2015,,2011-15,
8727,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,6/1/2015,6/1/2015,,,0.445,,,,,,2015,,2011-15,
8728,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/1/2015,6/1/2015,,,0.429,,,,,,2015,,2011-15,
8729,SRNR,Salt River Near Roosevelt Inlet,salt,SRNR,6/1/2015,6/1/2015,,,,,,,,,2015,,2011-15,
8730,UH IN,Union Hills Inlet,cap,Union Hills Inlet,6/1/2015,6/1/2015,,,0.349,,,,,,2015,,2011-15,
8731,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,6/1/2015,6/1/2015,,,0.336,,,,,,2015,,2011-15,
8736,GR IN,Greenway WTP Inlet,srp,Green In,6/1/2015,6/1/2015,,,,,,,,,2015,,2011-15,
8737,GR OUT,Greenway WTP Outlet,srp,Green Out,6/1/2015,6/1/2015,,,1.106,,,,,,2015,,2011-15,
8738,GL IN,Glendale WTP Inlet,,Glen In,6/1/2015,6/1/2015,,,0.371,,,,,,2015,,2011-15,
8739,GL OUT,Glendale WTP Outlet,,Glen Out,6/1/2015,6/1/2015,,,0.492,,,,,,2015,,2011-15,
8740,AN IN,Anthem WTP inlet,,anthem,6/1/2015,6/1/2015,,,0.362,,,,,,2015,,2011-15,
8741,AN OUT,Anthem WTP outlet,,anthem,6/1/2015,6/1/2015,,,0.349,,,,,,2015,,2011-15,
8742,R14,24th St. WTP Inlet,srp,24th In,6/1/2015,6/1/2015,,,0.326,,,,,,2015,,2011-15,
8743,R15,24th St. WTP Outlet,srp,24th Out,6/1/2015,6/1/2015,,,0.269,,,,,,2015,,2011-15,
8744,CH IN,Chandler WTP inlet,,chandler,6/1/2015,6/1/2015,,,3.013,,,,,,2015,,2011-15,
8745,CH OUT,Chandler WTP outlet,,chandler,6/1/2015,6/1/2015,,,2.233,,,,,,2015,,2011-15,
8746,R3,Waddell Canal,cap,waddell canal,6/1/2015,6/1/2015,,,0.36,,,,,,2015,,2011-15,
8747,AN IN,Anthem WTP inlet,,anthem,6/1/2015,6/1/2015,,,0.362,,,,,,2015,,2011-15,
8748,UH IN,Union Hills Inlet,cap,Union Hills Inlet,6/1/2015,6/1/2015,,,0.349,,,,,,2015,,2011-15,
8749,SGPS,Salt Gila,,Salt Gila,6/1/2015,6/1/2015,,,0.435,,,,,,2015,,2011-15,
8750,MTO,Mesa Turnout,,Mesa Turnout,6/1/2015,6/1/2015,,,0.408,,,,,,2015,,2011-15,
8751,R11,CAP Canal at Cross-connect,cap,cap @ x con,6/1/2015,6/1/2015,,,0.37,,,,,,2015,,2011-15,
8752,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,6/1/2015,6/1/2015,,,0.429,,,,,,2015,,2011-15,
8753,R25,verde river at beeline highway,verde,verde @ beeline,6/1/2015,6/1/2015,,,0.254,,,,,,2015,,2011-15,
8754,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,6/1/2015,6/1/2015,,,0.257,,,,,,2015,,2011-15,
8755,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,6/1/2015,6/1/2015,,,0.243,,,,,,2015,,2011-15,
8756,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,6/1/2015,6/1/2015,,,0.242,,,,,,2015,,2011-15,
