N,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TN,TDN,TP,DP,NO3-N,NH4-N ppm,DON,nutrients comments,Year,5-year
10987,GR OUT,Greenway WTP Outlet,srp,Green Out,3/25/2019,3/25/2019,,,0.241,,,,,,2019,,2016-20
11037,GR OUT,Greenway WTP Outlet,srp,Green Out,4/22/2019,4/22/2019,,,2.071,,,,,,2019,,2016-20
11087,GR OUT,Greenway WTP Outlet,srp,Green Out,5/7/2019,5/7/2019,,,0.786,,,,,,2019,,2016-20
11137,GR OUT,Greenway WTP Outlet,srp,Green Out,6/13/2019,6/13/2019,,,0.705,,,,,,2019,,2016-20
11187,GR OUT,Greenway WTP Outlet,srp,Green Out,7/22/2019,7/22/2019,,,0.632,,,,,,2019,,2016-20
11237,GR OUT,Greenway WTP Outlet,srp,Green Out,8/19/2019,8/19/2019,,,0.968,,,,,,2019,,2016-20
11287,GR OUT,Greenway WTP Outlet,srp,Green Out,9/24/2019,9/24/2019,,,0.501,,,,,,2019,,2016-20
11337,GR OUT,Greenway WTP Outlet,srp,Green Out,10/21/2019,10/21/2019,,,0.59,,,,,,,,2016-20
11387,GR OUT,Greenway WTP Outlet,srp,Green Out,11/25/2019,11/25/2019,,,1.591,,,,,,,,2016-20
11437,GR OUT,Greenway WTP Outlet,srp,Green Out,12/18/2019,12/18/2019,,,2.086,,,,,,,,2016-20
11487,GR OUT,Greenway WTP Outlet,srp,Green Out,1/1/2020,1/1/2020,,,,,,,,,2020,,2016-20
11537,GR OUT,Greenway WTP Outlet,srp,Green Out,2/1/2020,2/1/2020,,,,,,,,,2020,,2016-20
11587,GR OUT,Greenway WTP Outlet,srp,Green Out,5/1/2020,5/1/2020,,,,,,,,,2020,,2016-20
11637,GR OUT,Greenway WTP Outlet,srp,Green Out,6/1/2020,6/1/2020,,,,,,,,,2020,,2016-20
11687,GR OUT,Greenway WTP Outlet,srp,Green Out,7/1/2020,7/1/2020,,,,,,,,,2020,,2016-20
11737,GR OUT,Greenway WTP Outlet,srp,Green Out,8/1/2020,8/1/2020,,,,,,,,,2020,,2016-20
11787,GR OUT,Greenway WTP Outlet,srp,Green Out,9/1/2020,9/1/2020,,,,,,,,,2020,,2016-20
11837,GR OUT,Greenway WTP Outlet,srp,Green Out,10/1/2020,10/1/2020,,,,,,,,,2020,,2016-20
11887,GR OUT,Greenway WTP Outlet,srp,Green Out,11/1/2020,11/1/2020,,,,,,,,,2020,,2016-20
11937,GR OUT,Greenway WTP Outlet,srp,Green Out,1/1/2021,1/1/2021,,,,,,,,,2021,,
11987,GR OUT,Greenway WTP Outlet,srp,Green Out,2/1/2021,2/1/2021,,,,,,,,,2021,,
12037,GR OUT,Greenway WTP Outlet,srp,Green Out,,,,,,,,,,,,,
9318,HAV,Havasu lake Sample,,Havasu  ,6/6/2016,6/6/2016,,,,,,,,,2016,,2016-20
9368,HAV,Havasu lake Sample,,Havasu  ,7/11/2016,7/11/2016,,,,,,,,,2016,,2016-20
9418,HAV,Havasu lake Sample,,Havasu  ,8/1/2016,8/1/2016,,,,,,,,,2016,,2016-20
9468,HAV,Havasu lake Sample,,Havasu  ,9/12/2016,9/12/2016,,,,,,,,,2016,,2016-20
9518,HAV,Havasu lake Sample,,Havasu  ,10/24/2016,10/24/2016,,,,,,,,,2016,,2016-20
9568,HAV,Havasu lake Sample,,Havasu  ,11/7/2016,11/7/2016,,,,,,,,,2016,,2016-20
9618,HAV,Havasu lake Sample,,Havasu  ,12/5/2016,12/5/2016,,,,,,,,,2016,,2016-20
9668,HAV,Havasu lake Sample,,Havasu  ,1/2/2017,1/2/2017,,,,,,,,,2017,,2016-20
9718,HAV,Havasu lake Sample,,Havasu  ,2/6/2017,2/6/2017,,,0.527,,,,,,2017,,2016-20
9768,HAV,Havasu lake Sample,,Havasu  ,3/6/2017,3/6/2017,,,0.554,,,,,,2017,,2016-20
9818,HAV,Havasu lake Sample,,Havasu  ,4/3/2017,4/3/2017,,,0.54,,,,,,2017,,2016-20
9868,HAV,Havasu lake Sample,,Havasu  ,5/1/2017,5/1/2017,,,0.574,,,,,,2017,,2016-20
9918,HAV,Havasu lake Sample,,Havasu  ,6/5/2017,6/5/2017,,,0.449,,,,,,2017,,2016-20
9968,HAV,Havasu lake Sample,,Havasu  ,7/3/2017,7/3/2017,,,0.393,,,,,,2017,,2016-20
10018,HAV,Havasu lake Sample,,Havasu  ,8/7/2017,8/7/2017,,,0.324,,,,,,2017,,2016-20
10068,HAV,Havasu lake Sample,,Havasu  ,9/4/2017,9/4/2017,,,0.398,,,,,,2017,,2016-20
10118,HAV,Havasu lake Sample,,Havasu  ,10/2/2017,10/2/2017,,,0.466,,,,,,2017,,2016-20
10168,HAV,Havasu lake Sample,,Havasu  ,11/6/2017,11/6/2017,,,0.383,,,,,,2017,,2016-20
10218,HAV,Havasu lake Sample,,Havasu  ,12/4/2017,12/4/2017,,,,,,,,,2017,,2016-20
10268,HAV,Havasu lake Sample,,Havasu  ,1/8/2018,1/8/2018,,,,,,,,,2018,,2016-20
