ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
10900,GL IN,Glendale WTP Inlet,,Glen In,7/9/2018,7/9/2018,,,3.67,0.08,2.07,,,,,,,
10901,GL OUT,Glendale WTP Outlet,,Glen Out,7/9/2018,7/9/2018,,,1.96,0.03,1.27,,,,,,,
10902,AN IN,Anthem WTP inlet,,anthem,7/9/2018,7/9/2018,,,3.06,0.05,1.6,,,,,,,
10903,AN OUT,Anthem WTP outlet,,anthem,7/9/2018,7/9/2018,,,2.72,0.05,1.69,,,,,,,
10904,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,7/9/2018,7/9/2018,,,3.79,0.08,2.16,,,,,,,
10905,R15,24th St WTP treated water,srp,24th St -treated,7/9/2018,7/9/2018,,,2.15,0.03,1.35,,,,,,,
10906,CH IN,Chandler WTP inlet,,chandler,7/9/2018,7/9/2018,,,3.29,0.07,2.13,,,,,,,
10907,CH OUT,Chandler WTP outlet,,chandler,7/9/2018,7/9/2018,,,2.99,0.04,1.37,,,,,,,
10908,R3,Waddell Canal,cap,waddell canal,7/9/2018,7/9/2018,,,2.99,0.053,1.78,,,,,,,
10909,AN IN,Anthem WTP inlet,,anthem,7/9/2018,7/9/2018,,,3.06,0.049,1.6,,,,,,,
10910,UH IN,Union Hills Inlet,cap,Union Hills Inlet,7/9/2018,7/9/2018,,,2.87,0.055,1.92,,,,,,,
10911,SGPS,Salt Gila,,Salt Gila,7/9/2018,7/9/2018,,,3.23,0.049,1.52,,,,,,,
10912,MTO,Mesa Turnout,,Mesa Turnout,7/9/2018,7/9/2018,,,3.28,0.05,1.52,,,,,,,
10913,R11,CAP Canal at Cross-connect,cap,cap @ x con,7/9/2018,7/9/2018,,,3.13,0.051,1.63,,,,,,,
10914,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,7/9/2018,7/9/2018,,,3.82,0.081,2.12,,,,,,,
10915,R25,verde river at beeline highway,verde,verde @ beeline,7/9/2018,7/9/2018,,,2.07,0.051,2.47,,,,,,,
10916,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,7/9/2018,7/9/2018,,,3.78,0.074,1.96,,,,,,,
10917,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,7/9/2018,7/9/2018,,,3.69,0.078,2.12,,,,,,,
10918,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,7/9/2018,7/9/2018,,,3.87,0.08,2.07,,,,,,,
10919,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,7/9/2018,7/9/2018,,,3.73,0.081,2.17,,,,,,,
10920,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,7/9/2018,7/9/2018,,,3.83,0.082,2.14,,,,,,,
10921,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,7/9/2018,7/9/2018,,,3.89,0.081,2.08,,,,,,,
10922,GL IN,Glendale WTP Inlet,,Glen In,7/9/2018,7/9/2018,,,3.67,0.076,2.07,,,,,,,
10923,GR IN,Greenway WTP Inlet,srp,Green In,7/9/2018,7/9/2018,,,3.56,0.077,2.16,,,,,,,
10924,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,7/9/2018,7/9/2018,,,3.83,0.08,2.09,,,,,,,
10925,HTC,Head of the Tempe Canal,tempe,head of tempe canal,7/9/2018,7/9/2018,,,3.85,0.082,2.13,,,,,,,
10926,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,7/9/2018,7/9/2018,,,3.19,0.072,2.26,,,,,,,
10927,HOC,Head of the Consolidated Canal,az canal,,7/9/2018,7/9/2018,,,3.74,0.083,2.22,,,,,,,
10928,MOC,Middle of the Consolidated canal,az canal,,7/9/2018,7/9/2018,,,3.67,0.081,2.21,,,,,,,
10929,CH IN,Chandler WTP inlet,,chandler,7/9/2018,7/9/2018,,,3.29,0.07,2.13,,,,,,,
10930,HAV,Havasu lake Sample,,Havasu  ,8/21/2018,8/21/2018,,,2.72,0.091,3.34,,,,,,,
10931,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,8/21/2018,8/21/2018,,,3.07,0.058,1.89,,,,,,,
10932,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,8/21/2018,8/21/2018,,,3.44,0.049,1.43,,,,,,,
10933,R20,Verde River at Tangle,verde,verde abv horseshoe,8/21/2018,8/21/2018,,,,,,,,,,,,
10934,R25,verde river at beeline highway,verde,verde @ beeline,8/21/2018,8/21/2018,,,2.73,0.071,2.6,,,,,,,
10935,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,8/21/2018,8/21/2018,,,,,,,,,,,,
10936,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,8/21/2018,8/21/2018,,,,,,,,,,,,
10937,R9A,Saguaro Lake near inlet,salt,saguaro-epi,8/21/2018,8/21/2018,,,,,,,,,,,,
10938,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,8/21/2018,8/21/2018,,,,,,,,,,,,
10939,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,8/21/2018,8/21/2018,,,,,,,,,,,,
10940,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/21/2018,8/21/2018,,,4.36,0.083,1.9,,,,,,,
10941,SRNR,Salt River near Roosevelt,salt,SRNR,8/21/2018,8/21/2018,,,4.69,0.218,4.65,,,,,,,
10942,UH IN,Union Hills Inlet,cap,Union Hills Inlet,8/21/2018,8/21/2018,,,3.34,0.054,1.62,,,,,,,
10943,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,8/21/2018,8/21/2018,,,2.52,0.025,0.99,,,,,,,
10944,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,8/21/2018,8/21/2018,,,3.61,0.065,1.8,,,,,,,
10945,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,8/21/2018,8/21/2018,,,,,,,,,,,,
10946,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/21/2018,8/21/2018,,,3.84,0.081,2.11,,,,,,,
10947,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,8/21/2018,8/21/2018,,,3.3,0.044,1.33,,,,,,,
10948,GR IN,Greenway WTP Inlet,srp,Green In,8/21/2018,8/21/2018,,,3.24,0.06,1.91,,,,,,,
10949,GR OUT,Greenway WTP Outlet,srp,Green Out,8/21/2018,8/21/2018,,,2.37,0.03,1.05,,,,,,,
10950,GL IN,Glendale WTP Inlet,,Glen In,8/21/2018,8/21/2018,,,3.56,0.07,1.94,,,,,,,
10951,GL OUT,Glendale WTP Outlet,,Glen Out,8/21/2018,8/21/2018,,,1.7,0.02,1.18,,,,,,,
10952,AN IN,Anthem WTP inlet,,anthem,8/21/2018,8/21/2018,,,3.29,0.05,1.64,,,,,,,
10953,AN OUT,Anthem WTP outlet,,anthem,8/21/2018,8/21/2018,,,3.32,0.05,1.51,,,,,,,
10954,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,8/21/2018,8/21/2018,,,3.53,0.06,1.73,,,,,,,
10955,R15,24th St WTP treated water,srp,24th St -treated,8/21/2018,8/21/2018,,,2.25,0.02,0.98,,,,,,,
10956,CH IN,Chandler WTP inlet,,chandler,8/21/2018,8/21/2018,,,4.02,0.09,2.11,,,,,,,
10957,CH OUT,Chandler WTP outlet,,chandler,8/21/2018,8/21/2018,,,3.23,0.04,1.12,,,,,,,
10958,R3,Waddell Canal,cap,waddell canal,8/21/2018,8/21/2018,,,3.29,0.052,1.58,,,,,,,
10959,AN IN,Anthem WTP inlet,,anthem,8/21/2018,8/21/2018,,,3.29,0.054,1.64,,,,,,,
10960,UH IN,Union Hills Inlet,cap,Union Hills Inlet,8/21/2018,8/21/2018,,,3.34,0.054,1.62,,,,,,,
10961,SGPS,Salt Gila,,Salt Gila,8/21/2018,8/21/2018,,,3.04,0.052,1.71,,,,,,,
10962,MTO,Mesa Turnout,,Mesa Turnout,8/21/2018,8/21/2018,,,3.03,0.056,1.85,,,,,,,
10963,R11,CAP Canal at Cross-connect,cap,cap @ x con,8/21/2018,8/21/2018,,,3.35,0.051,1.52,,,,,,,
10964,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,8/21/2018,8/21/2018,,,4.36,0.083,1.9,,,,,,,
10965,R25,verde river at beeline highway,verde,verde @ beeline,8/21/2018,8/21/2018,,,2.73,0.071,2.6,,,,,,,
10966,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,8/21/2018,8/21/2018,,,3.63,0.055,1.52,,,,,,,
10967,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,8/21/2018,8/21/2018,,,3.52,0.064,1.82,,,,,,,
10968,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,8/21/2018,8/21/2018,,,3.54,0.062,1.75,,,,,,,
10969,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,8/21/2018,8/21/2018,,,3.63,0.064,1.76,,,,,,,
10970,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,8/21/2018,8/21/2018,,,3.54,0.065,1.83,,,,,,,
10971,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,8/21/2018,8/21/2018,,,3.53,0.064,1.82,,,,,,,
10972,GL IN,Glendale WTP Inlet,,Glen In,8/21/2018,8/21/2018,,,3.56,0.069,1.94,,,,,,,
10973,GR IN,Greenway WTP Inlet,srp,Green In,8/21/2018,8/21/2018,,,3.24,0.062,1.91,,,,,,,
10974,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,8/21/2018,8/21/2018,,,4.17,0.083,1.99,,,,,,,
10975,HTC,Head of the Tempe Canal,tempe,head of tempe canal,8/21/2018,8/21/2018,,,4.11,0.082,1.99,,,,,,,
10976,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,8/21/2018,8/21/2018,,,3.84,0.081,2.11,,,,,,,
10977,HOC,Head of the Consolidated Canal,az canal,,8/21/2018,8/21/2018,,,4.01,0.084,2.1,,,,,,,
10978,MOC,Middle of the Consolidated canal,az canal,,8/21/2018,8/21/2018,,,4.13,0.086,2.08,,,,,,,
10979,CH IN,Chandler WTP inlet,,chandler,8/21/2018,8/21/2018,,,4.02,0.085,2.11,,,,,,,
10980,HAV,Havasu lake Sample,,Havasu  ,9/25/2018,9/25/2018,,,2.83,0.042,1.49,,,,,,,
10981,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,9/25/2018,9/25/2018,,,3.07,0.051,1.66,,,,,,,
10982,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,9/25/2018,9/25/2018,,,3.37,0.044,1.31,,,,,,,
10983,R20,Verde River at Tangle,verde,verde abv horseshoe,9/25/2018,9/25/2018,,,,,,,,,,,,
10984,R25,verde river at beeline highway,verde,verde @ beeline,9/25/2018,9/25/2018,,,2.24,0.057,2.54,,,,,,,
10985,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,9/25/2018,9/25/2018,,,3.32,0.067,2.02,,,,,,,
10986,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,9/25/2018,9/25/2018,,,3,0.067,2.23,,,,,,,
10987,R9A,Saguaro Lake near inlet,salt,saguaro-epi,9/25/2018,9/25/2018,,,4.44,0.081,1.82,,,,,,,
10988,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,9/25/2018,9/25/2018,,,6.44,0.093,1.44,,,,,,,
10989,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,9/25/2018,9/25/2018,,,4.48,0.088,1.96,,,,,,,
10990,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/25/2018,9/25/2018,,,3.91,0.091,2.32,,,,,,,
10991,SRNR,Salt River near Roosevelt,salt,SRNR,9/25/2018,9/25/2018,,,,,,,,,,,,
10992,UH IN,Union Hills Inlet,cap,Union Hills Inlet,9/25/2018,9/25/2018,,,2.62,0.047,1.79,,,,,,,
10993,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,9/25/2018,9/25/2018,,,1.97,0.025,1.27,,,,,,,
10994,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,9/25/2018,9/25/2018,,,2.86,0.054,1.89,,,,,,,
10995,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,9/25/2018,9/25/2018,,,,,,,,,,,,
10996,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/25/2018,9/25/2018,,,3.32,0.077,2.32,,,,,,,
10997,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,9/25/2018,9/25/2018,,,1.86,0.023,1.23,,,,,,,
10998,GR IN,Greenway WTP Inlet,srp,Green In,9/25/2018,9/25/2018,,,2.88,0.06,2.09,,,,,,,
10999,GR OUT,Greenway WTP Outlet,srp,Green Out,9/25/2018,9/25/2018,,,2.03,0.02,0.94,,,,,,,
11000,GL IN,Glendale WTP Inlet,,Glen In,9/25/2018,9/25/2018,,,2.98,0.06,1.91,,,,,,,
11001,GL OUT,Glendale WTP Outlet,,Glen Out,9/25/2018,9/25/2018,,,1.53,0.02,1.11,,,,,,,
11002,AN IN,Anthem WTP inlet,,anthem,9/25/2018,9/25/2018,,,2.55,0.05,1.84,,,,,,,
11003,AN OUT,Anthem WTP outlet,,anthem,9/25/2018,9/25/2018,,,2.52,0.04,1.75,,,,,,,
11004,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,9/25/2018,9/25/2018,,,2.76,0.05,1.85,,,,,,,
11005,R15,24th St WTP treated water,srp,24th St -treated,9/25/2018,9/25/2018,,,3.24,0.05,1.51,,,,,,,
11006,CH IN,Chandler WTP inlet,,chandler,9/25/2018,9/25/2018,,,3.46,0.08,2.34,,,,,,,
11007,CH OUT,Chandler WTP outlet,,chandler,9/25/2018,9/25/2018,,,2.91,0.04,1.44,,,,,,,
11008,R3,Waddell Canal,cap,waddell canal,9/25/2018,9/25/2018,,,2.69,0.046,1.71,,,,,,,
11009,AN IN,Anthem WTP inlet,,anthem,9/25/2018,9/25/2018,,,2.55,0.047,1.84,,,,,,,
11010,UH IN,Union Hills Inlet,cap,Union Hills Inlet,9/25/2018,9/25/2018,,,2.62,0.047,1.79,,,,,,,
11011,SGPS,Salt Gila,,Salt Gila,9/25/2018,9/25/2018,,,2.75,0.041,1.49,,,,,,,
11012,MTO,Mesa Turnout,,Mesa Turnout,9/25/2018,9/25/2018,,,2.76,0.041,1.49,,,,,,,
11013,R11,CAP Canal at Cross-connect,cap,cap @ x con,9/25/2018,9/25/2018,,,2.67,0.045,1.69,,,,,,,
11014,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,9/25/2018,9/25/2018,,,3.91,0.091,2.32,,,,,,,
11015,R25,verde river at beeline highway,verde,verde @ beeline,9/25/2018,9/25/2018,,,2.24,0.057,2.54,,,,,,,
11016,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,9/25/2018,9/25/2018,,,2.68,0.045,1.68,,,,,,,
11017,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,9/25/2018,9/25/2018,,,3.12,0.059,1.89,,,,,,,
11018,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,9/25/2018,9/25/2018,,,2.93,0.058,1.98,,,,,,,
11019,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,9/25/2018,9/25/2018,,,2.77,0.053,1.92,,,,,,,
11020,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,9/25/2018,9/25/2018,,,2.9,0.053,1.83,,,,,,,
11021,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,9/25/2018,9/25/2018,,,2.83,0.052,1.84,,,,,,,
11022,GL IN,Glendale WTP Inlet,,Glen In,9/25/2018,9/25/2018,,,2.98,0.057,1.91,,,,,,,
11023,GR IN,Greenway WTP Inlet,srp,Green In,9/25/2018,9/25/2018,,,2.88,0.06,2.09,,,,,,,
11024,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,9/25/2018,9/25/2018,,,3.91,0.088,2.25,,,,,,,
11025,HTC,Head of the Tempe Canal,tempe,head of tempe canal,9/25/2018,9/25/2018,,,2.9,0.082,2.83,,,,,,,
11026,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,9/25/2018,9/25/2018,,,3.32,0.077,2.32,,,,,,,
11027,HOC,Head of the Consolidated Canal,az canal,,9/25/2018,9/25/2018,,,3.52,0.081,2.3,,,,,,,
11028,MOC,Middle of the Consolidated canal,az canal,,9/25/2018,9/25/2018,,,3.47,0.078,2.25,,,,,,,
11029,CH IN,Chandler WTP inlet,,chandler,9/25/2018,9/25/2018,,,3.46,0.081,2.34,,,,,,,
11030,HAV,Havasu lake Sample,,Havasu  ,10/22/2018,10/22/2018,,,2.74,0.042,1.53,,,,,,,
11031,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,10/22/2018,10/22/2018,,,2.8,0.041,1.47,,,,,,,
11032,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,10/22/2018,10/22/2018,,,3.3,0.047,1.43,,,,,,,
11033,R20,Verde River at Tangle,verde,verde abv horseshoe,10/22/2018,10/22/2018,,,1.08,0.028,2.6,,,,,,,
11034,R25,verde river at beeline highway,verde,verde @ beeline,10/22/2018,10/22/2018,,,2.73,0.069,2.53,,,,,,,
11035,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,10/22/2018,10/22/2018,,,,,,,,,,,,
11036,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,10/22/2018,10/22/2018,,,2.77,0.065,2.35,,,,,,,
11037,R9A,Saguaro Lake near inlet,salt,saguaro-epi,10/22/2018,10/22/2018,,,4.25,0.08,1.88,,,,,,,
11038,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,10/22/2018,10/22/2018,,,4.68,0.079,1.69,,,,,,,
11039,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,10/22/2018,10/22/2018,,,4.55,0.081,1.78,,,,,,,
11040,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/22/2018,10/22/2018,,,3.49,0.074,2.12,,,,,,,
11041,SRNR,Salt River near Roosevelt,salt,SRNR,10/22/2018,10/22/2018,,,,,,,,,,,,
11042,UH IN,Union Hills Inlet,cap,Union Hills Inlet,10/22/2018,10/22/2018,,,,,,,,,,,,
11043,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,10/22/2018,10/22/2018,,,,,,,,,,,,
11044,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,10/22/2018,10/22/2018,,,2.82,0.043,1.52,,,,,,,
11045,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,10/22/2018,10/22/2018,,,,,,,,,,,,
11046,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/22/2018,10/22/2018,,,2.12,0.047,2.22,,,,,,,
11047,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,10/22/2018,10/22/2018,,,2.22,0.028,1.26,,,,,,,
11048,GR IN,Greenway WTP Inlet,srp,Green In,10/22/2018,10/22/2018,,,2.45,0.04,1.63,,,,,,,
11049,GR OUT,Greenway WTP Outlet,srp,Green Out,10/22/2018,10/22/2018,,,1.78,0.01,0.5,,,,,,,
11050,GL IN,Glendale WTP Inlet,,Glen In,10/22/2018,10/22/2018,,,2.62,0.05,1.83,,,,,,,
11051,GL OUT,Glendale WTP Outlet,,Glen Out,10/22/2018,10/22/2018,,,1.47,0.01,0.68,,,,,,,
11052,AN IN,Anthem WTP inlet,,anthem,10/22/2018,10/22/2018,,,2.65,0.04,1.39,,,,,,,
11053,AN OUT,Anthem WTP outlet,,anthem,10/22/2018,10/22/2018,,,2.42,0.04,1.61,,,,,,,
11054,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,10/22/2018,10/22/2018,,,2.65,0.04,1.51,,,,,,,
11055,R15,24th St WTP treated water,srp,24th St -treated,10/22/2018,10/22/2018,,,1.71,0.01,0.76,,,,,,,
11056,CH IN,Chandler WTP inlet,,chandler,10/22/2018,10/22/2018,,,2.23,0.08,3.41,,,,,,,
11057,CH OUT,Chandler WTP outlet,,chandler,10/22/2018,10/22/2018,,,2.06,0.03,1.26,,,,,,,
11058,R3,Waddell Canal,cap,waddell canal,10/22/2018,10/22/2018,,,2.66,0.04,1.5,,,,,,,
11059,AN IN,Anthem WTP inlet,,anthem,10/22/2018,10/22/2018,,,2.65,0.037,1.39,,,,,,,
11060,UH IN,Union Hills Inlet,cap,Union Hills Inlet,10/22/2018,10/22/2018,,,,,,,,,,,,
11061,SGPS,Salt Gila,,Salt Gila,10/22/2018,10/22/2018,,,2.81,0.04,1.42,,,,,,,
11062,MTO,Mesa Turnout,,Mesa Turnout,10/22/2018,10/22/2018,,,2.7,0.039,1.44,,,,,,,
11063,R11,CAP Canal at Cross-connect,cap,cap @ x con,10/22/2018,10/22/2018,,,2.83,0.041,1.45,,,,,,,
11064,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/22/2018,10/22/2018,,,3.49,0.074,2.12,,,,,,,
11065,R25,verde river at beeline highway,verde,verde @ beeline,10/22/2018,10/22/2018,,,2.73,0.069,2.53,,,,,,,
11066,R12,AZ Canal above CAP Cross-connect,srp,az canal inflow,10/22/2018,10/22/2018,,,2.69,0.039,1.45,,,,,,,
11067,R13,AZ Canal below CAP Cross-connect,srp,az canal blw cap,10/22/2018,10/22/2018,,,2.66,0.039,1.47,,,,,,,
11068,HWY 87,AZ Canal at Highway 87,srp,az canal @ hwy 87,10/22/2018,10/22/2018,,,2.68,0.041,1.53,,,,,,,
11069,PIMA,AZ Canal at Pima Rd.,srp,az canal @ pima,10/22/2018,10/22/2018,,,2.59,0.039,1.5,,,,,,,
11070,R22,AZ Canal - 56th St. (Alma School Road),srp,az canal @ 56th st.,10/22/2018,10/22/2018,,,2.63,0.04,1.52,,,,,,,
11071,R21,AZ Canal at Central Av.,srp,az canal @ central ave.,10/22/2018,10/22/2018,,,2.77,0.039,1.41,,,,,,,
11072,GL IN,Glendale WTP Inlet,,Glen In,10/22/2018,10/22/2018,,,2.62,0.048,1.83,,,,,,,
11073,GR IN,Greenway WTP Inlet,srp,Green In,10/22/2018,10/22/2018,,,2.45,0.04,1.63,,,,,,,
11074,SOCA,South Canal below CAP Cross-conect,SRP,South canal below CAP,10/22/2018,10/22/2018,,,2.86,0.07,2.45,,,,,,,
11075,HTC,Head of the Tempe Canal,tempe,head of tempe canal,10/22/2018,10/22/2018,,,1.51,0.036,2.38,,,,,,,
11076,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,10/22/2018,10/22/2018,,,2.12,0.047,2.22,,,,,,,
11077,HOC,Head of the Consolidated Canal,az canal,,10/22/2018,10/22/2018,,,1.69,0.037,2.19,,,,,,,
11078,MOC,Middle of the Consolidated canal,az canal,,10/22/2018,10/22/2018,,,1.66,0.038,2.29,,,,,,,
11079,CH IN,Chandler WTP inlet,,chandler,10/22/2018,10/22/2018,,,2.23,0.076,3.41,,,,,,,
11080,HAV,Havasu lake Sample,,Havasu  ,11/20/2018,11/20/2018,,,,0.045,,,,,,,,
11081,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/20/2018,11/20/2018,,,,0.051,,,,,,,,
11082,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/20/2018,11/20/2018,,,,0.052,,,,,,,,
11083,R20,Verde River at Tangle,verde,verde abv horseshoe,11/20/2018,11/20/2018,,,,,,,,,,,,
11084,R25,verde river at beeline highway,verde,verde @ beeline,11/20/2018,11/20/2018,,,2.26,0.054,2.39,,,,,,,
11085,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/20/2018,11/20/2018,,,,,,,,,,,,
11086,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/20/2018,11/20/2018,,,,,,,,,,,,
11087,R9A,Saguaro Lake near inlet,salt,saguaro-epi,11/20/2018,11/20/2018,,,,,,,,,,,,
11088,R9A-DUP,Saguaro Lake near inlet,salt,saguaro-epi dup,11/20/2018,11/20/2018,,,,,,,,,,,,
11089,R9B,Saguaro Lake near inlet,salt,saguaro-hypo,11/20/2018,11/20/2018,,,,,,,,,,,,
11090,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/20/2018,11/20/2018,,,3.25,0.064,1.97,,,,,,,
11091,SRNR,Salt River near Roosevelt,salt,SRNR,11/20/2018,11/20/2018,,,,,,,,,,,,
11092,UH IN,Union Hills Inlet,cap,Union Hills Inlet,11/20/2018,11/20/2018,,,2.86,0.04,1.4,,,,,,,
11093,UH OUT,Union Hills Treated Water,cap,Union Hills Outlet,11/20/2018,11/20/2018,,,2.11,0.018,0.85,,,,,,,
11094,NP IN,Cross-Cut Canal - Inlet to Tempe's North Plant,tempe,North plant inlet,11/20/2018,11/20/2018,,,2.83,0.042,1.49,,,,,,,
11095,NP OUT,Tempe's North Plant treated water,tempe,north plant outlet,11/20/2018,11/20/2018,,,,,,,,,,,,
11096,SPT IN,Tempe Canal - Inlet to Tempe's South Plant,tempe,STP In,11/20/2018,11/20/2018,,,,,,,,,,,,
11097,SPT OUT,Tempe's South Plant treated water,tempe,STP Out,11/20/2018,11/20/2018,,,,,,,,,,,,
11098,GR IN,Greenway WTP Inlet,srp,Green In,11/20/2018,11/20/2018,,,2.71,0.04,1.62,,,,,,,
11099,GR OUT,Greenway WTP Outlet,srp,Green Out,11/20/2018,11/20/2018,,,1.47,0.02,1.36,,,,,,,
11100,GL IN,Glendale WTP Inlet,,Glen In,11/20/2018,11/20/2018,,,2.5,0.04,1.68,,,,,,,
11101,GL OUT,Glendale WTP Outlet,,Glen Out,11/20/2018,11/20/2018,,,1.84,0.02,0.82,,,,,,,
11102,AN IN,Anthem WTP inlet,,anthem,11/20/2018,11/20/2018,,,3.57,0.04,1.06,,,,,,,
11103,AN OUT,Anthem WTP outlet,,anthem,11/20/2018,11/20/2018,,,2.74,0.03,1.02,,,,,,,
11104,R14,AZ Canal - Inlet to 24th St WTP,srp,az canal @ 24th St,11/20/2018,11/20/2018,,,2.62,0.04,1.6,,,,,,,
11105,R15,24th St WTP treated water,srp,24th St -treated,11/20/2018,11/20/2018,,,1.81,0.02,1.11,,,,,,,
11106,CH IN,Chandler WTP inlet,,chandler,11/20/2018,11/20/2018,,,,,,,,,,,,
11107,CH OUT,Chandler WTP outlet,,chandler,11/20/2018,11/20/2018,,,,,,,,,,,,
11108,R3,Waddell Canal,cap,waddell canal,11/20/2018,11/20/2018,,,3.16,0.04,1.27,,,,,,,
11109,AN IN,Anthem WTP inlet,,anthem,11/20/2018,11/20/2018,,,3.57,0.038,1.06,,,,,,,
11110,UH IN,Union Hills Inlet,cap,Union Hills Inlet,11/20/2018,11/20/2018,,,2.86,0.04,1.4,,,,,,,
11111,SGPS,Salt Gila,,Salt Gila,11/20/2018,11/20/2018,,,,0.043,,,,,,,,
11112,MTO,Mesa Turnout,,Mesa Turnout,11/20/2018,11/20/2018,,,,0.043,,,,,,,,
11113,R11,CAP Canal at Cross-connect,cap,cap @ x con,11/20/2018,11/20/2018,,,2.78,0.039,1.4,,,,,,,
11114,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,11/20/2018,11/20/2018,,,3.25,0.064,1.97,,,,,,,
11115,R25,verde river at beeline highway,verde,verde @ beeline,11/20/2018,11/20/2018,,,2.26,0.054,2.39,,,,,,,
