ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,Month,Sample type,TOC,DOC,UVA,SUVA,PI,WL PI,Int @ 450,Int @ 460,Int @ 500,FI 45/50,Comments
391,R17,Deer Valley WTP treated water,srp,deer valley-treated,10/19/2000,,,2.65,2.52,0.037,1.48,52.81,444.07,52.23,48.73,28.69,1.820494946,
392,R18,South Canal at Val Vista WTP,srp,s canal @ val vista,10/19/2000,,,2.767,2.76,0.043,1.57,49.63,447.48,49.18,46.19,27.75,1.772252252,
393,R19,Val Vista WTP treated water,srp,val vista-treated,10/19/2000,,,1.858,1.86,0.021,1.15,14.64,447,14.56,13.44,7.38,1.972899729,
394,field_blank,field blank,,field,,,,,,,,,,,,,,
395,lab_blank,laboratory blank,,lab,,,,,,,,,,,,,,
396,R20,Verde River at Tangle,verde,verde abv horseshoe,10/27/2000,,,2.765,2.61,0.087,3.34,115.42,449.5,115.39,110.84,70.5,1.636737589,
397,R25,verde river at beeline highway,verde,verde @ beeline,10/28/2000,,Rain event,5.409,5.4,0.189,3.5,255.17,448.26,254.12,245.32,156.65,1.622215129,
398,R10,Salt River below Saguaro (Blue Point Bridge),salt,salt blw saguaro,10/28/2000,,Rain event,3.036,3.12,0.059,1.91,81.05,447.88,80.53,75.57,45.79,1.758680935,
399,R1,CAP canal above Waddell Canal,cap,cap-siphon,11/14/2000,,,2.672,2.5,0.044,1.75,43.59,446.61,43.11,40.91,24.42,1.89,
400,R2A,Lake Pleasant integrated sample,cap,pleasant-epi,11/14/2000,,,2.809,2.92,0.051,1.74,49,447.02,48.18,45.46,26.84,1.87,
401,R2B,Lake Pleasant integrated sample,cap,pleasant-hypo,11/14/2000,,,2.83,2.81,0.047,1.68,47.98,448.17,47.67,45.22,26.77,1.91,
402,R3,Waddell Canal,cap,waddell canal,11/14/2000,,,2.663,2.66,0.043,1.63,43.31,447.42,43,40.67,24.53,1.84,
403,R4,Cap Canal at 7th St.,cap,cap @ 7th st,11/16/2000,,,2.637,2.69,0.044,1.62,43.1,445.71,42.75,40.51,24.25,1.84,
404,R4-Dup,Cap Canal at 7th St.,cap,cap @ 7th st dup,11/16/2000,,,2.621,2.97,0.043,1.45,44.1,449.88,44.09,41.06,24.69,1.88,
405,R5,Verde River btwn Horseshoe and Bartlett,verde,verde abv bartlett,11/14/2000,,,1.28,1.27,0.032,2.51,55.08,448.77,54.92,51.69,31.49,1.78,
406,R6A,Bartlett Reservoir near outlet,verde,bartlett-epi,11/14/2000,,,2.044,1.95,0.051,2.61,67.02,448.02,66.79,63.93,38.46,1.79,
407,R6B,Bartlett Reservoir near outlet,verde,bartlett-hypo,11/14/2000,,,1.977,1.92,0.052,2.72,66.36,447.68,66.31,62.5,38.54,1.76,
408,R7,Verde River below Bartlett Reservoir,verde,verde blw barlett,11/14/2000,,,1.93,1.97,0.054,2.76,116.13,439.06,109.22,90.14,39.19,1.73,
409,R8,Salt River inlet to Saguaro Lake,salt,salt abv saguaro,11/15/2000,,,2.746,2.91,0.066,2.27,75.94,447.95,75.73,72.11,43.74,1.81,
